bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,217599.0,191921.0,207607.0,157928.0,124124.0,135054.0,146858.0,92815.0,92815.0,92815.0,92815.0,92815.0,92815.0,56947.0,56947.0,62503.0,68503.0,74983.0,81982.0,89541.0,97704.0,106520.0,116042.0,126325.0,43444.0,43444.0,46444.0,50444.0,52868.0,33648.0,34364.0,34364.0,37068.0,40800.0,45024.0,48944.0,51770.0,56002.0,59258.0,18340.0,20807.0,23472.0,26350.0,29458.0,32815.0,36440.0,40355.0,44583.0,48157.0,49522.0,49634.0,54605.0,59973.0,65771.0,34285.0,34325.0,36541.0,40005.0,35666.0,35886.0,39757.0,21472.0,24190.0,27125.0,30295.0,33719.0,37417.0,41410.0,21276.0,21560.0,24168.0,27101.0,30269.0,33691.0,37386.0,41377.0,45687.0,47358.0,50526.0,24096.0,24724.0,27440.0,30635.0,34086.0,36700.0,40636.0,44887.0,49478.0,53357.0,57417.0,61609.0,35549.0,32038.0,35601.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,304167.0,38821.0,202302.0,202302.0,185384.0,177941.0,148357.0,128275.0,124870.0,124870.0,129330.0,79108.0,79108.0,86437.0,86437.0,94352.0,102900.0,97896.0,97896.0,97896.0,106728.0,116266.0,126567.0,137692.0,149707.0,162684.0,176699.0,191835.0,195233.0,195233.0,195233.0,179163.0,179163.0,194496.0,194496.0,145112.0,157721.0,157721.0,171339.0,131850.0,131850.0,131850.0,131850.0,133035.0,133035.0,144678.0,157252.0,170832.0,185499.0,201339.0,218446.0,236922.0,236305.0,236305.0,236305.0,236305.0,176305.0,176305.0,191409.0,207722.0,137534.0,137534.0,137534.0,137534.0,137534.0,108522.0,108522.0,118204.0,128660.0,139953.0,152149.0,165321.0,179547.0,194911.0,211504.0,229424.0,248778.0,269680.0,239797.0,239797.0,239797.0,239797.0,210759.0,121004.0,121004.0,124004.0,89114.0,89114.0,89114.0,89114.0,82326.0,82326.0,89912.0,98105.0,106953.0,116509.0,126830.0,137976.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,4.0,25.0,5.0,95.0,9.0,3.0,3.0,0.0,3.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,24.0,0.0,2.0,4.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,1714.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,49.0,3.0,56.0,3.0,0.0,32.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,9.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,49.0,0.0,21.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,3.0,10.0,173.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0
timestamp,1541181457,1541181458,1541181459,1541181460,1541181461,1541181462,1541181463,1541181464,1541181465,1541181466,1541181467,1541181468,1541181469,1541181470,1541181471,1541181472,1541181473,1541181474,1541181475,1541181476,1541181477,1541181478,1541181479,1541181480,1541181481,1541181482,1541181483,1541181484,1541181485,1541181486,1541181487,1541181488,1541181489,1541181490,1541181491,1541181492,1541181493,1541181494,1541181495,1541181496,1541181497,1541181498,1541181499,1541181500,1541181501,1541181502,1541181503,1541181504,1541181505,1541181506,1541181507,1541181508,1541181509,1541181510,1541181511,1541181512,1541181513,1541181514,1541181515,1541181516,1541181517,1541181518,1541181519,1541181520,1541181521,1541181522,1541181523,1541181524,1541181525,1541181526,1541181527,1541181528,1541181529,1541181530,1541181531,1541181532,1541181533,1541181534,1541181535,1541181536,1541181537,1541181538,1541181539,1541181540,1541181541,1541181542,1541181543,1541181544,1541181545,1541181546,1541181547,1541181548,1541181549,1541181550,1541181551,1541181552,1541181553,1541181554,1541181555,1541181556,1541181557,1541181558,1541181559,1541181560,1541181561,1541181562,1541181563,1541181564,1541181565,1541181566,1541181567,1541181568,1541181569,1541181570,1541181461,1541181462,1541181463,1541181464,1541181465,1541181466,1541181467,1541181468,1541181469,1541181470,1541181471,1541181472,1541181473,1541181474,1541181475,1541181476,1541181477,1541181478,1541181479,1541181480,1541181481,1541181482,1541181483,1541181484,1541181485,1541181486,1541181487,1541181488,1541181489,1541181490,1541181491,1541181492,1541181493,1541181494,1541181495,1541181496,1541181497,1541181498,1541181499,1541181500,1541181501,1541181502,1541181503,1541181504,1541181505,1541181506,1541181507,1541181508,1541181509,1541181510,1541181511,1541181512,1541181513,1541181514,1541181515,1541181516,1541181517,1541181518,1541181519,1541181520,1541181521,1541181522,1541181523,1541181524,1541181525,1541181526,1541181527,1541181528,1541181529,1541181530,1541181531,1541181532,1541181533,1541181534,1541181535,1541181536,1541181537,1541181538,1541181539,1541181540,1541181541,1541181542,1541181543,1541181544,1541181545,1541181546,1541181547,1541181548,1541181549,1541181550,1541181551,1541181552,1541181553,1541181554,1541181555,1541181556,1541181557,1541181558,1541181559,1541181560,1541181561,1541181562,1541181563,1541181564,1541181565,1541181566,1541181567,1541181568,1541181569,1541181570
audio_bitsReceivedPerSecond,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4940.940940940941,34896.0,209366.63336663335,119800.0,152040.0,52716.71671671671,96928.0,152736.0,42491.017964071856,136696.0,176552.0,170770.77077077076,162349.65034965036,164648.0,186698.6986986987,173418.58141858142,138626.62662662662,160974.0518962076,142661.32264529058,107144.0,170285.7142857143,123588.41158841159,121899.79959919839,180280.0,146928.0,125568.0,118680.0,175503.5035035035,169888.0,187108.8911088911,177096.0,174390.39039039038,184432.0,177472.0,163128.0,174104.0,194453.54645354644,162186.18618618618,106472.0,182392.0,184760.0,195896.0,195584.0,181472.0,174704.0,200767.23276723278,187027.02702702704,190352.0,187000.0,179504.0,170280.0,164600.0,173992.0,163520.0,145656.0,136864.0,157304.0,191152.0,196248.0,197280.0,177808.0,205848.0,182480.0,189720.0,124968.0,141432.0,155632.0,197338.66133866133,190758.75875875875,180920.0,184896.0,184104.0,165856.0,179472.0,179576.0,184648.0,174929.07092907093,149773.77377377378,104695.3046953047,195627.62762762763,186976.0,204984.0,172515.4845154845,178634.63463463463,201766.23376623375,205165.16516516518,197632.0,150632.0,153896.0,159240.0,189536.0,196824.0,171824.0,181186.81318681317,166686.68668668668,169128.0,180307.6923076923,172908.9089089089,166777.22277722278,177977.97797797798,178576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0,4376.0,0.0,135088.0,161224.0,126777.22277722278,107608.0,134633.36663336665,137656.0,57369.36936936937,130424.0,142209.7902097902,198544.0,160672.0,179144.0,185592.0,20112.0,128208.0,161089.0890890891,108795.2047952048,136464.0,194836.65338645419,125716.58291457286,101608.0,93277.27727727727,108083.91608391609,117256.0,120400.0,71167.16716716716,146421.57842157842,155923.92392392393,177886.1138861139,138936.0,43600.0,75083.08308308308,103128.0,87832.0,91692.30769230769,77701.7017017017,73974.02597402598,66330.33033033033,78529.47052947053,72168.0,46496.0,123824.0,84776.0,93376.0,49344.0,43387.38738738739,47840.15984015984,49769.76976976977,49936.0,57248.0,59148.85114885115,61909.90990990991,67044.95504495504,71312.0,75016.0,44388.38838838839,125756.48702594811,87190.38076152305,96351.64835164836,101080.0,65905.9059059059,70616.0,77368.0,75560.0,71832.0,75040.0,76064.0,43824.0,56160.0,58952.0,41918.081918081916,86886.88688688689,69714.28571428571,72376.37637637637,53088.0,51040.0,54673.32667332667,58146.146146146144,61104.0,63904.0,50240.0,92480.0,78008.0,86224.0,65360.0,50208.0,59016.0,61728.0,61640.0,67704.0,70464.0,72664.0,78472.0,82072.0,86824.0,59624.0,138352.0,87360.0,70784.0
audio_bitsSentPerSecond,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0,0.0,4380.38038038038,395480.0,356763.23676323675,301936.0,134176.0,648.6486486486486,145256.0,152184.0,56359.28143712575,150208.0,115160.0,55071.07107107107,0.0,0.0,0.0,122237.76223776223,145257.25725725727,127289.42115768463,122404.80961923848,137416.0,162221.77822177822,71152.84715284716,90981.96392785572,94752.0,107008.0,120648.0,120200.0,127047.04704704705,142224.0,147892.1078921079,166232.0,101549.54954954956,64888.0,81560.0,79552.0,87344.0,90253.74625374626,74010.01001001001,74944.0,70936.0,74488.0,72608.0,84648.0,86760.0,86312.0,92275.72427572428,44932.932932932934,44184.0,47184.0,49752.0,53136.0,55608.0,59208.0,62208.0,68672.0,71104.0,75200.0,76576.0,93256.0,88344.0,94192.0,100360.0,66584.0,73048.0,74816.0,74976.0,72848.0,76603.3966033966,69797.7977977978,48232.0,56120.0,58840.0,61784.0,67088.0,69872.0,72200.0,51140.85914085914,51555.555555555555,56039.96003996004,56256.25625625626,61064.0,66824.0,69442.55744255745,73161.16116116116,78633.36663336663,89985.98598598599,56504.0,51896.0,59032.0,62480.0,65056.0,65544.0,70464.0,75348.65134865134,77061.06106106106,83904.0,86593.40659340659,99675.67567567568,102857.14285714286,80760.76076076076,69928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4936.0,188816.0,380160.0,336336.0,131952.0,147220.77922077922,25720.0,127520.47952047952,144768.0,25049.04904904905,126448.0,135192.8071928072,166536.0,157440.0,146960.0,208456.0,165040.0,124216.0,81785.78578578579,115556.44355644356,141272.0,225968.12749003983,151011.0552763819,114920.0,132492.49249249249,142137.86213786213,147368.0,142184.0,178330.33033033033,171972.02797202798,194546.54654654654,197394.6053946054,178672.0,195504.0,183911.9119119119,146168.0,184200.0,181058.94105894107,181557.55755755756,106821.17882117882,172044.04404404404,162709.2907092907,224064.0,186752.0,162256.0,151088.0,195440.0,202384.0,167479.4794794795,158785.21478521478,187875.87587587588,200800.0,182704.0,196243.75624375624,166942.94294294293,143824.17582417582,156064.0,149864.0,193433.43343343344,201285.42914171657,197939.87975951904,173546.45354645356,219096.0,168064.06406406406,177984.0,107824.0,142240.0,143624.0,186624.0,173736.0,159224.0,158120.0,150832.0,183624.37562437562,176608.6086086086,192351.64835164836,196644.64464464464,222288.0,205352.0,108323.67632367632,189589.5895895896,177344.0,254400.0,144552.0,202568.0,192808.0,202168.0,203264.0,109536.0,144896.0,181384.0,113480.0,161752.0,100088.0,101944.0,111392.0,129528.0,123392.0,133008.0,148792.0,160520.0,173440.0
audio_packetsSentPerSecond,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.001001001001001,93.0,117.88211788211788,104.0,128.0,98.09809809809809,108.0,107.0,89.82035928143712,107.0,102.0,30.03003003003003,0.0,0.0,0.0,60.93906093906094,89.08908908908909,77.8443113772455,80.16032064128257,89.0,98.9010989010989,71.92807192807193,92.18436873747495,97.0,104.0,126.0,137.0,139.13913913913913,139.0,141.85814185814186,142.0,102.10210210210211,84.0,93.0,87.0,104.0,121.87812187812187,102.10210210210211,94.0,93.0,87.0,86.0,104.0,96.0,93.0,108.89110889110889,74.07407407407408,67.0,68.0,70.0,71.0,71.0,75.0,75.0,79.0,82.0,81.0,85.0,77.0,88.0,95.0,112.0,85.0,84.0,83.0,83.0,92.0,96.90309690309691,88.08808808808809,66.0,70.0,71.0,73.0,75.0,78.0,77.0,66.93306693306694,68.06806806806807,70.92907092907093,69.06906906906907,72.0,77.0,77.92207792207792,79.07907907907908,83.91608391608392,83.08308308308308,68.0,67.0,75.0,76.0,76.0,75.0,78.0,79.92007992007991,81.08108108108108,73.0,83.91608391608392,118.11811811811812,117.88211788211788,96.09609609609609,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,103.0,105.0,111.0,102.8971028971029,88.0,94.9050949050949,95.0,79.07907907907908,85.0,94.9050949050949,101.0,90.0,87.0,91.0,80.0,91.0,80.08008008008008,84.91508491508492,92.0,131.47410358565736,112.56281407035176,124.0,122.12212212212212,140.85914085914087,142.0,145.0,139.13913913913913,146.85314685314685,147.14714714714714,153.84615384615384,150.0,145.0,154.15415415415416,163.0,160.0,163.83616383616385,173.17317317317318,174.82517482517483,142.14214214214215,170.82917082917083,198.0,174.0,169.0,149.0,164.0,160.0,154.15415415415416,140.85914085914087,146.14614614614615,143.0,146.0,148.85114885114885,148.14814814814815,154.84515484515484,152.0,163.0,154.15415415415416,190.6187624750499,188.37675350701403,157.84215784215783,175.0,180.18018018018017,180.0,150.0,120.0,165.0,163.0,162.0,141.0,153.0,143.0,141.85814185814186,144.14414414414415,145.85414585414586,144.14414414414415,142.0,143.0,142.85714285714286,135.13513513513513,129.0,162.0,159.0,172.0,155.0,185.0,176.0,126.0,130.0,150.0,93.0,114.0,98.0,89.0,95.0,112.0,142.0,137.0,142.0,139.0,146.0
audio_googLocalAddress,-1,-1,-1,-1,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574
audio_googRemoteAddress,-1,-1,-1,-1,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.8:39574,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:33464,10.164.0.9:33464,10.164.0.9:33464,10.164.0.9:33464,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772,10.164.0.9:60772
audio_googRtt,-1,-1,-1,-1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2001.0,1835.0,1835.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,1859.0,4820.0,4820.0,5547.0,6426.0,5442.0,5442.0,5442.0,5189.0,5189.0,5189.0,5048.0,4815.0,4815.0,4815.0,4519.0,4519.0,4320.0,4320.0,4118.0,4118.0,4118.0,4054.0,4054.0,4054.0,3992.0,3992.0,3954.0,3954.0,3824.0,3824.0,3824.0,3799.0,3799.0,3621.0,3621.0,3621.0,3508.0,3508.0,3477.0,3477.0,3477.0,3631.0,3631.0,3631.0,3631.0,3631.0,3631.0,3631.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3540.0,3443.0,3443.0,3343.0,3343.0,3250.0,3250.0,3250.0,3245.0,3245.0,3245.0,3365.0,3365.0,3358.0,3358.0,3358.0,3428.0,3428.0,3428.0,3498.0,3498.0,3513.0,3513.0,3448.0,3448.0,3241.0,3241.0,2864.0,2864.0,2482.0,2482.0,3000.0,3000.0,1492.0,1554.0,1554.0,1554.0,1578.0,1578.0,1578.0,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0,1612.0,2858.0,2858.0,2858.0,2858.0,2858.0,2858.0,2858.0,4637.0,5946.0,5515.0,5515.0,5515.0,5290.0,5290.0,5026.0,5026.0,4669.0,4669.0,4669.0,4573.0,4573.0,4573.0,4435.0,4185.0,4185.0,4185.0,3990.0,3990.0,3990.0,3990.0,3990.0,3914.0,3914.0,3914.0,3914.0,3914.0,3811.0,3811.0,3811.0,3811.0,3811.0,3629.0,3629.0,3523.0,3523.0,3523.0,3467.0,3467.0,3467.0,3616.0,3616.0,3645.0,3645.0,3569.0,3569.0,3569.0,3569.0,3569.0,3569.0,3689.0,3689.0,3684.0,3684.0,3548.0,3548.0,3548.0,3455.0,3455.0,3303.0,3303.0,3303.0,3231.0,3231.0,3231.0,3356.0,3356.0,3345.0,3345.0,3345.0,3345.0,3345.0,3345.0,3345.0,3345.0,3345.0,3345.0,3354.0,3264.0,3161.0,3161.0,2788.0,2357.0,2357.0,2357.0
