bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,300000.0,300000.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,5112349.0,300000.0,300000.0,300000.0,300000.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0,5510831.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
timestamp,1541195280,1541195281,1541195282,1541195283,1541195284,1541195285,1541195286,1541195287,1541195288,1541195289,1541195290,1541195291,1541195292,1541195293,1541195294,1541195295,1541195296,1541195297,1541195298,1541195299,1541195300,1541195301,1541195302,1541195303,1541195304,1541195305,1541195306,1541195307,1541195308,1541195309,1541195310,1541195311,1541195312,1541195313,1541195314,1541195315,1541195316,1541195317,1541195318,1541195319,1541195320,1541195321,1541195322,1541195323,1541195324,1541195325,1541195326,1541195327,1541195328,1541195329,1541195330,1541195331,1541195332,1541195333,1541195334,1541195335,1541195336,1541195337,1541195338,1541195339,1541195340,1541195341,1541195342,1541195343,1541195344,1541195345,1541195346,1541195347,1541195348,1541195349,1541195350,1541195351,1541195352,1541195353,1541195354,1541195355,1541195356,1541195357,1541195358,1541195359,1541195360,1541195361,1541195362,1541195363,1541195364,1541195365,1541195366,1541195367,1541195368,1541195369,1541195370,1541195371,1541195372,1541195373,1541195374,1541195375,1541195376,1541195377,1541195378,1541195379,1541195380,1541195381,1541195382,1541195383,1541195384,1541195385,1541195386,1541195387,1541195388,1541195389,1541195390,1541195278,1541195279,1541195280,1541195281,1541195282,1541195283,1541195284,1541195285,1541195286,1541195287,1541195288,1541195289,1541195290,1541195291,1541195292,1541195293,1541195294,1541195295,1541195296,1541195297,1541195298,1541195299,1541195300,1541195301,1541195302,1541195303,1541195304,1541195305,1541195306,1541195307,1541195308,1541195309,1541195310,1541195311,1541195312,1541195313,1541195314,1541195315,1541195316,1541195317,1541195318,1541195319,1541195320,1541195321,1541195322,1541195323,1541195324,1541195325,1541195326,1541195327,1541195328,1541195329,1541195330,1541195331,1541195332,1541195333,1541195334,1541195335,1541195336,1541195337,1541195338,1541195339,1541195340,1541195341,1541195342,1541195343,1541195344,1541195345,1541195346,1541195347,1541195348,1541195349,1541195350,1541195351,1541195352,1541195353,1541195354,1541195355,1541195356,1541195357,1541195358,1541195359,1541195360,1541195361,1541195362,1541195363,1541195364,1541195365,1541195366,1541195367,1541195368,1541195369,1541195370,1541195371,1541195372,1541195373,1541195374,1541195375,1541195376,1541195377,1541195378,1541195379,1541195380,1541195381,1541195382,1541195383,1541195384,1541195385,1541195386,1541195387,1541195388,1541195389,1541195390
audio_bitsReceivedPerSecond,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,0.0,1078776.0,2227900.460829493,2385423.580786026,2543568.0,2501178.8211788214,2692780.7807807806,2601086.913086913,2639241.5169660677,2650877.755511022,2657344.0,2549008.0,2633126.8731268733,2599398.7975951903,2498946.107784431,2579799.599198397,2692689.9302093717,2589755.511022044,2574016.0,2673960.0,2588936.0,2612612.6126126125,2608663.3366633365,2658386.3863863866,2533266.733266733,2568367.2654690617,2609290.5811623246,2629736.0,2604972.972972973,2641830.16983017,2626234.2342342343,2495416.5834165835,2596127.744510978,2634816.0,2124916.916916917,2050858.858858859,2144536.0,2047416.0,2141408.0,2155632.0,2091888.0,2078534.5345345344,2066592.0,2101696.0,2094352.0,2035672.0,2096686.626746507,2080793.5871743488,2114277.7222777223,2121793.793793794,2078177.8221778222,2092080.0,2061101.1011011011,2111480.0,1885808.0,2479880.239520958,2638302.3023023023,2594232.0,2682538.5385385384,2594944.0,2623928.071928072,2580360.0,2537201.2012012014,2641357.2854291415,2501653.653653654,2542744.0,2690946.946946947,2584296.0,2597061.876247505,2558837.6753507014,2657856.0,2639576.4235764234,2627859.85985986,2577198.801198801,2643760.0,2568912.0,2664240.2402402405,2523500.4995004996,2701912.0,2536627.606752731,2638838.709677419,2647417.1656686626,2553176.0,2636929.859719439,2615464.5354645355,2553921.921921922,2615280.7192807193,2569776.0,2656631.3686313685,2066192.0,2116208.4168336676,2146152.0,2059072.0,2152719.2807192807,2084384.0,2053485.4854854855,2088535.4645354645,2070280.0,2136671.3286713287,2027219.2192192192,2147939.93993994,2102331.3373253495,2033608.0,2148756.756756757,2087391.3913913914,2050509.4905094905,2108328.0,2069864.0,2134864.0,2011508.4915084916
audio_bitsSentPerSecond,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,0.0,1088016.0,2299111.520737327,2404183.406113537,2445680.0,2548299.7002997003,2440008.008008008,2714613.3866133867,2653405.1896207584,2628424.849699399,2577080.0,2611432.0,2704879.1208791207,2588024.0480961925,2623936.127744511,2511262.5250501004,2524171.48554337,2707310.621242485,2554568.0,2580560.0,2640744.0,2041417.4174174175,2122109.89010989,2109565.5655655656,2085970.02997003,2036335.3293413173,2091863.7274549098,2149344.0,2054710.7107107106,2152687.3126873127,2102078.078078078,2020171.828171828,2123624.750499002,2087960.0,2036940.940940941,2135471.4714714712,2036320.0,2151976.0,2027080.0,2099824.0,2119000.0,2029317.3173173172,2127496.0,2076440.0,2032640.0,2122144.0,2043105.7884231538,2135623.246492986,2030585.4145854146,2100028.028028028,2101906.093906094,2037536.0,2130026.026026026,2072328.0,2057592.0,2135936.127744511,2027667.6676676676,2177728.0,2008400.4004004004,2121944.0,2091732.2677322677,2070264.0,2109493.4934934936,2108279.4411177645,2070574.5745745746,2063296.0,2073545.5455455456,2149056.0,2036958.0838323354,2111318.637274549,2088056.0,2154829.170829171,2051251.2512512512,2053010.989010989,2060328.0,2125624.0,2035747.7477477477,2119792.2077922076,2065144.0,2106001.9860973186,2051008.064516129,2078155.6886227545,2100936.0,2080416.8336673346,2065246.7532467532,2089241.2412412413,2072527.4725274725,2169088.0,2016967.0329670329,2142264.0,2015454.9098196393,2056848.0,2129192.0,2106877.122877123,2027304.0,2094198.198198198,2076955.044955045,2105744.0,2067220.7792207792,2145833.8338338337,2009121.121121121,2072894.2115768462,2122480.0,2120288.2882882883,2025089.089089089,2125690.3096903097,2094088.0,2085360.0,2055392.0,2147020.979020979
audio_packetsSentPerSecond,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,0.0,191.0,349.3087557603687,364.6288209606987,360.0,372.6273726273726,361.3613613613614,397.6023976023976,387.2255489021956,381.76352705410824,376.0,383.0,384.61538461538464,378.7575150300601,383.23353293413174,373.74749498997994,372.8813559322034,391.78356713426854,372.0,379.0,388.0,325.3253253253253,323.6763236763237,327.32732732732734,324.6753246753247,315.3692614770459,326.65330661322645,335.0,325.3253253253253,332.6673326673327,322.32232232232235,318.68131868131866,325.3493013972056,321.0,320.3203203203203,335.33533533533534,322.0,333.0,321.0,327.0,328.0,319.31931931931933,326.0,321.0,319.0,331.0,324.3512974051896,331.6633266533066,325.6743256743257,325.3253253253253,329.6703296703297,321.0,328.3283283283283,323.0,318.0,327.34530938123754,321.3213213213213,340.0,318.3183183183183,330.0,321.67832167832165,321.0,325.3253253253253,324.3512974051896,321.3213213213213,326.0,326.32632632632635,335.0,323.3532934131737,326.65330661322645,325.0,337.6623376623377,316.3163163163163,317.68231768231766,316.0,336.0,318.3183183183183,328.6713286713287,325.0,333.6643495531281,323.58870967741933,325.3493013972056,326.0,324.6492985971944,321.67832167832165,325.3253253253253,325.6743256743257,339.0,317.68231768231766,335.0,317.63527054108215,320.0,327.0,326.6733266733267,315.0,328.3283283283283,324.6753246753247,329.0,326.6733266733267,330.33033033033036,319.31931931931933,323.3532934131737,328.0,328.3283283283283,315.31531531531533,330.6693306693307,325.0,330.0,322.0,332.6673326673327
audio_googLocalAddress,-1,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,10.164.0.9:60781,10.164.0.9:60781,18.195.93.116:62259,18.195.93.116:62259,18.195.93.116:62259,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,18.195.93.116:50399,-1,-1,-1,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603,10.164.0.8:35603
audio_googRemoteAddress,-1,10.164.0.8:35603,10.164.0.8:36146,10.164.0.8:36146,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,10.164.0.8:36146,10.164.0.8:36146,10.164.0.8:36146,10.164.0.8:36146,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,10.164.0.8:36146,10.164.0.8:36146,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,18.195.93.116:55359,-1,-1,-1,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781,10.164.0.9:60781
audio_googRtt,-1,5.0,3.0,3.0,30.0,30.0,30.0,3.0,3.0,3.0,3.0,30.0,30.0,30.0,3.0,3.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,32.0,31.0,-1,-1,-1,3000.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
