bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,139030.0,151152.0,164244.0,178384.0,193655.0,210147.0,227959.0,247196.0,131158.0,131158.0,137609.0,148821.0,161269.0,175171.0,190112.0,206321.0,223827.0,242733.0,129456.0,130287.0,141710.0,153077.0,105047.0,114451.0
bweforvideo-googBucketDelay,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timestamp,1544719313,1544719314,1544719315,1544719316,1544719317,1544719318,1544719319,1544719320,1544719321,1544719322,1544719323,1544719324,1544719325,1544719326,1544719327,1544719328,1544719329,1544719330,1544719331,1544719332,1544719333,1544719334,1544719335,1544719336
audio_bitsReceivedPerSecond,147648.0,262016.0,181920.0,146856.0,170544.0,190704.0,207809.52380952382,207580.64516129033,220736.0,207616.0,139264.0,171720.0,107928.0,122200.0,120600.0,154328.0,177856.0,176272.0,216736.0,222512.0,177856.0,263432.0,169688.0,150648.0
audio_bitsSentPerSecond,163808.0,203296.0,211056.0,230176.0,252824.0,253040.0,252587.3015873016,270637.0967741936,271432.0,193096.0,179584.0,208448.0,211592.0,227832.0,254256.0,245808.0,246152.0,261784.0,257288.0,189800.0,167376.0,196288.0,171576.0,150376.0
audio_packetsSentPerSecond,122.0,130.0,129.0,129.0,135.0,135.0,132.93650793650792,135.08064516129033,131.0,128.0,124.0,130.0,128.0,128.0,133.0,134.0,133.0,136.0,132.0,127.0,124.0,128.0,124.0,114.0
audio_googLocalAddress,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684,35.204.92.114:40684
audio_googRemoteAddress,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000,18.194.44.151:10000
audio_googRtt,240.0,184.0,184.0,184.0,141.0,141.0,109.0,109.0,109.0,144.0,144.0,115.0,115.0,115.0,90.0,90.0,71.0,71.0,71.0,87.0,87.0,69.0,69.0,69.0
audio_send_bitsSentPerSecond,35792.0,38864.0,40184.0,40304.0,40440.0,40336.0,40079.36507936508,40919.354838709674,38448.0,40296.0,37560.0,38256.0,40320.0,40320.0,40400.0,40416.0,35936.0,32992.0,39624.0,36408.0,25152.0,24712.0,24016.0,23480.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,50.0,50.0,50.0,50.0,50.0,50.0,49.6031746031746,50.403225806451616,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
audio_send_googJitterReceived,3.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,14.0,14.0,14.0,14.0,14.0,14.0,2.0
