video_send_googFrameWidthSent,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0,1280.0
video_send_googRtt,29.0,26.0,26.0,32.0,41.0,58.0,66.0,59.0
video_recv_resolutionChangesReceived,0,0,0,0,0,0,0,0
video_send_resolutionChangesSent,0,0,0,0,0,0,0,0
1_way_delay_audio_send,55.5,55.5,55.5,24.5,24.5,24.5,24.5,63.5
1_way_delay_video_send,14.5,13.0,13.0,16.0,20.5,29.0,33.0,29.5
ear_ear_delay_audio_send,96.5,201.5,228.5,326.5,230.5,333.5,355.5,396.5
audio_recv_kbitsReceivedPerSecond,0,9,4,7,7,7,7,7
video_recv_kbitsReceivedPerSecond,0,1120,999,1021,956,1044,966,963
audio_packet_loss_percentage_send,0.0,0.0,0.0,0.0,0.0,0.0
e_model_audio_send,91.884,86.702,83.084,69.952,82.816,69.01400000000001,66.066
kpi_audio_synchronization,4.3823781086542715,4.250074962817145,4.135043683963072,3.5947479943741443,4.125847767318528,3.5504230414967926,3.4075048632915284
eye_eye_delay_video_send,75.5,73.0,70.0,72.0,84.5,91.0,94.0,88.5
kpi_video_synchronization,5,5,5,5,5,5,5,5
av_delay_send,21.0,128.5,158.5,254.5,146.0,242.5,261.5,308.0
kpi_av_synchronization,5,1,1,1,1,1,1,1
kpi_resolution_stability,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246
max_resolution_percentage,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
kpi_resolution_stability_norm,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246,4.303535113616246
max_resolution_percentage_norm,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
kpi_fps_stability,5,5,5,5,5,5,5,5
kpi_q_audio,1,1,1,1,1,1,1,1
kpi_q_video,3.619285714285714,3.5171428571428573,3.5357142857142856,3.4707142857142856,3.5542857142857143,3.48,3.48
qoe_simple_normal,4.034589631120316,3.5584210276146035,3.5487350125038333,3.4778688247717304,3.5508084820830113,3.4744914490551992
qoe_simple_smooth,4.304470583501269,3.8112781704717467,3.804687393456214,3.7229878723907777,3.8098561011306296,3.7211581157218663
