bweforvideo-googAvailableReceiveBandwidth,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweforvideo-googAvailableSendBandwidth,2298075.0,2335795.0,2342979.0,2348420.0,2362236.0,2374791.0,2393998.0
bweforvideo-googBucketDelay,0.0,4.0,0.0,6.0,0.0,6.0,0.0
timestamp,1541190830,1541190831,1541190832,1541190833,1541190834,1541190835,1541190836
audio_bitsReceivedPerSecond,0.0,1009335.2855051245,1064963.1728045326,1042459.5185995623,1081684.6307385229,939134.2685370741,1040024.0
audio_bitsSentPerSecond,0.0,1743273.7920937042,1649484.419263456,1558336.9803063457,1644447.1057884232,1630525.0501002003,1504736.0
audio_packetsSentPerSecond,0.0,352.1229868228404,349.8583569405099,333.6980306345733,343.313373253493,339.67935871743487,332.0
audio_googLocalAddress,35.204.125.129:34140,35.204.125.129:34140,35.204.125.129:34140,35.204.125.129:34140,35.204.125.129:34140,35.204.125.129:34140,35.204.125.129:34140
audio_googRemoteAddress,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000,18.196.161.130:10000
audio_googRtt,38.0,38.0,38.0,32.0,32.0,27.0,27.0
audio_send_bitsSentPerSecond,0.0,16521.229868228405,13552.40793201133,15667.396061269146,15393.21357285429,14757.51503006012,14320.0
audio_send_packetsLost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_send_packetsSentPerSecond,0.0,50.512445095168374,49.57507082152974,49.23413566739606,50.89820359281437,49.098196392785574,51.0
audio_send_googJitterReceived,113.0,113.0,113.0,113.0,118.0,118.0,118.0
audio_send_googRtt,88.0,88.0,88.0,88.0,16.0,16.0,16.0
video_send_bitsSentPerSecond,0.0,1721247.437774524,1584453.2577903683,1520008.7527352297,1612439.121756487,1588072.1442885771,1469560.0
video_send_packetsLost,12.0,12.0,12.0,12.0,12.0,12.0,12.0
video_send_packetsSentPerSecond,0.0,275.9882869692533,264.8725212464589,257.11159737417944,266.4670658682635,259.5190380761523,251.0
video_send_googEncodeUsagePercent,102.0,64.0,64.0,58.0,55.0,53.0,51.0
video_send_googFrameHeightSent,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_send_googFrameRateSent,57.0,60.0,60.0,60.0,60.0,60.0,60.0
video_send_googFrameWidthSent,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_send_googRtt,43.0,38.0,38.0,31.0,26.0,23.0,22.0
audio_recv_bitsReceivedPerSecond,0.0,5241.581259150806,11150.14164305949,7772.428884026258,7145.7085828343315,8016.032064128257,8000.0
audio_recv_packetsReceivedPerSecond,0.0,5.124450951683748,11.331444759206798,7.658643326039387,6.986027944111776,8.016032064128256,8.0
audio_recv_googCurrentDelayMs,70.0,35.0,33.0,28.0,24.0,26.0,31.0
audio_recv_googJitterBufferMs,21.0,2.0,3.0,2.0,3.0,4.0,8.0
audio_recv_googJitterReceived,119.0,107.0,107.0,107.0,107.0,107.0,107.0
audio_recv_googPreferredJitterBufferMs,460.0,460.0,460.0,460.0,460.0,460.0,460.0
video_recv_bitsReceivedPerSecond,0.0,984860.9077598829,1028305.9490084986,1014879.6498905908,1049269.4610778443,911919.8396793588,1008240.0
video_recv_packetsReceivedPerSecond,0.0,132.50366032210835,135.97733711048159,133.47921225382933,134.7305389221557,122.24448897795591,134.0
video_recv_googCurrentDelayMs,78.0,76.0,75.0,74.0,72.0,72.0,69.0
video_recv_googDecodeMs,3.0,2.0,4.0,3.0,3.0,3.0,3.0
video_recv_googFrameHeightReceived,540.0,540.0,540.0,540.0,540.0,540.0,540.0
video_recv_googFrameRateOutput,60.0,60.0,61.0,59.0,60.0,60.0,60.0
video_recv_googFrameRateReceived,59.0,60.0,60.0,60.0,59.0,60.0,60.0
video_recv_googFrameWidthReceived,960.0,960.0,960.0,960.0,960.0,960.0,960.0
video_recv_googInterframeDelayMax,21.0,25.0,25.0,42.0,21.0,19.0,18.0
video_recv_googJitterBufferMs,55.0,54.0,53.0,53.0,52.0,52.0,51.0
video_recv_googPlisSent,1.0,1.0,1.0,1.0,1.0,1.0,1.0
video_send_resolutionChangesSent,0,0,0,0,0,0,0
video_recv_resolutionChangesReceived,0,0,0,0,0,0,0
1_way_delay_audio_send,44.0,44.0,44.0,44.0,8.0,8.0,8.0
